场次ID,联赛,主队,客队,开赛时间,最优玩法,盘口,EV,Kelly,实际赛果
509196,美国职业大联盟联赛,波特兰伐木者,皇家盐湖城,20260726 10:30,大小球-小,3.5球,13.06%,0.00%,未完场
509197,美国职业大联盟联赛,圣荷西地震,洛杉矶银河,20260726 10:30,让球-主,-0.5球,8.41%,8.24%,未完场
509227,美国冠军联赛,凤凰城展翅,哈特福体育,20260726 10:30,胜平负-客胜,胜平负,22.75%,0.00%,未完场
509279,墨西哥超级联赛,堤格雷斯,圣路易斯体育会,20260726 11:00,大小球-大,2.5球,5.97%,7.47%,未完场
511249,球会友谊赛,奥克兰FC,热刺,20260726 11:00,大小球-小,3.75球,6.36%,0.00%,未完场
510206,澳洲杯,韦斯顿熊队,墨尔本城,20260726 12:00,让球-客,+2球,1.80%,2.85%,0:3
511338,球会友谊赛,利云特,艾卡迪沙,20260726 16:00,让球-客,0球,1.51%,1.92%,1:0
508066,南韩职业联赛,FC首尔,蔚山HD,20260726 18:30,大小球-小,2.75球,1.45%,0.00%,1:3
508970,南韩职业联赛,FC光州,济州SK,20260726 18:30,大小球-小,2.25球,2.43%,0.00%,1:2
508971,南韩职业联赛,仁川联,FC富川,20260726 18:30,大小球-小,2.25球,8.80%,0.00%,1:1
508953,中国超级联赛,山东泰山,河南队,20260726 19:35,大小球-小,3.5球,8.51%,0.00%,1:2
508955,中国超级联赛,浙江队,大连英博,20260726 20:00,让球-主,-0.25球,1.77%,0.00%,3:2
509104,瑞典超级联赛,天狼星,哥登堡,20260726 20:00,让球-客,-1.25球,5.64%,17.36%,4:1
509120,芬兰超级联赛,伊斯韦斯,拉迪,20260726 20:00,让球-主,0球,3.99%,6.23%,1:0
509133,挪威超级联赛,白兰恩,华拿伦加,20260726 20:30,大小球-小,3.5球,3.04%,0.00%,2:3
509122,芬兰超级联赛,赫尔辛基,TPS杜古,20260726 22:00,让球-客,-1.5球,10.81%,12.29%,未完场
510674,苏格兰联赛杯,圣美伦,邓弗姆林,20260726 22:00,让球-客,-0.5球,6.32%,6.20%,未完场
509105,瑞典超级联赛,加尔斯,咸史泰斯,20260726 22:30,让球-主,-1.25球,13.31%,1.51%,未完场
509106,瑞典超级联赛,马模,艾夫斯堡,20260726 22:30,让球-主,-0.5球,1.77%,1.74%,未完场
509135,挪威超级联赛,萨普斯堡,咸卡姆,20260726 23:00,胜平负-客胜,胜平负,5.67%,0.00%,未完场
510562,女子苏格兰联赛杯,马瑟韦尔女足,Montrose W,20260726 23:00,胜平负-主胜,胜平负,4.62%,5.13%,未完场
511341,球会友谊赛,拿玻里,卡拉雷斯,20260726 23:59,让球-客,-1.75球,7.42%,0.00%,未完场
510510,俄罗斯超级联赛,卡山鲁宾,卡斯洛达,20260727 00:30,让球-主,+0.5球,0.01%,0.01%,未完场
509252,巴西甲组联赛,巴希亚,哥连泰斯,20260727 03:00,让球-主,-0.25球,1.41%,0.00%,未完场
509253,巴西甲组联赛,高士路,保地花高,20260727 03:00,大小球-小,2.5球,1.13%,0.00%,未完场
510046,巴西乙组联赛,基斯奥马,纽迪高,20260727 03:00,让球-客,-1球,1.52%,2.93%,未完场
510369,女子非洲国家杯,摩洛哥女足,肯尼亚女足,20260727 04:00,让球-客,-1.75球,0.19%,0.00%,未完场
509275,智利甲组联赛,奥达斯,智利大学,20260727 05:30,让球-主,+0.5球,3.22%,4.47%,未完场
509283,墨西哥超级联赛,尼卡沙,蒙特雷,20260727 07:00,让球-主,+0.25球,0.66%,0.81%,未完场
510636,墨西哥甲组联赛,塔巴迪奥,蓝十字希达高,20260727 07:00,让球-客,-0.25球,1.54%,13.85%,未完场
509755,东南亚锦标赛,印尼,柬埔寨,20260727 21:30,让球-主,-2.5球,5.80%,6.75%,未完场
